	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
ɪ̘	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	-	-
ɪ̥	+	-	-	+	+	-	-	n	-	-	+	-	-	+	-	-	-	-	-	-	n	-	-
ɪ̥	+	-	-	+	+	-	-	n	-	-	+	-	-	+	-	-	-	-	-	-	n	-	-
ɪː	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	-	-	-	n	+	-
ɪː	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	-	-	-	n	+	-
ɪ̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	+	-	-	-	-	-	-	n	+	-
ɪɛ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	+	-
ɨ	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɨ̃	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɨ̃	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɨ̞	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	+	-	-	n	-	-
ɨ˞	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	+	+	-	-	n	-	-
ɨː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	+	-
ɨː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	+	-
ɨ̃ː	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	-	-	n	+	-
ɨːː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	+	+
ɨʔɨ	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɨ̃ʔɨ̃	+	+	-	+	+	+	+	n	+	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɨ̃ʔɨ̃	+	+	-	+	+	+	+	n	+	-	-	+	+	+	-	-	-	+	-	-	n	-	-
j	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ĵ	-	-	-	+	+	+	-	n	-	-	-	-	n	+	-	-	-	-	-	-	.	-	-
j̃	-	-	-	+	+	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
j̥	-	-	-	+	+	-	-	n	-	-	+	.	n	+	-	-	-	-	-	-	.	-	-
jː	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	+	-
je	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	+	-
jẽ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	-	-	-	n	+	-
jeː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	+	-
jʰ	-	-	-	+	+	+	-	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
jʷ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	-	+	+	.	-	-
