	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
n̟ʲ	-	-	+	+	-	+	-	-	+	-	-	-	n	+	-	+	+	-	-	-	-	-	-
n̪ʲ	-	-	+	+	-	+	-	-	+	-	-	-	n	+	-	+	+	-	-	-	+	-	-
ⁿɟ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
ⁿɟ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
ⁿk	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
nkǀ	-	-	+	-	-	-	-	-	.	-	-	n	n	+	-	+	+	+	-	-	+	-	-
nkǃ	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ⁿɬ	-	-	+	-	+	-	-	+	+	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ⁿɮ	-	-	+	-	+	+	-	+	+	-	-	-	n	-	-	+	+	-	-	-	.	-	-
nŋw	-	-	+	+	-	+	-	-	+	-	-	-	n	.	-	+	.	.	+	.	.	-	-
ⁿr	-	+	+	+	+	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
ⁿs	-	-	+	-	+	-	-	-	+	+	-	.	n	-	-	+	+	-	-	-	-	-	-
n̞s̞	-	-	+	-	+	-	-	-	+	+	-	.	n	-	-	+	+	-	-	-	-	-	-
n̥s	-	-	+	-	+	-	-	-	.	+	-	.	n	-	-	+	+	-	-	-	-	-	-
ⁿʃ	-	-	+	-	+	-	-	-	+	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ⁿt	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	-	-	-	-	-
n̪t̪	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	-	-	+	-	-
ⁿtʰ	-	-	+	-	-	-	-	-	+	-	+	+	n	-	-	+	+	-	-	-	-	-	-
ⁿtʰ	-	-	+	-	-	-	-	-	+	-	+	+	n	-	-	+	+	-	-	-	-	-	-
ⁿtɬ	-	-	+	-	-	-	-	+	+	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ⁿtɸ	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	.	-	-	.	.	-	-
ⁿts	-	-	+	-	-	-	-	-	+	+	-	.	n	-	-	+	+	-	-	-	-	-	-
ⁿtsʼ	-	-	+	-	-	-	+	-	+	+	-	+	n	-	-	+	+	-	-	-	-	-	-
ⁿtsʼ	-	-	+	-	-	-	+	-	+	+	-	+	n	-	-	+	+	-	-	-	-	-	-
ⁿtʃ	-	-	+	-	-	-	-	-	+	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ⁿtʃʰʷ	-	-	+	-	-	-	-	-	+	+	+	+	n	+	-	-	+	-	+	+	+	-	-
ⁿtʃʷ	-	-	+	-	-	-	-	-	+	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ⁿtʃʼ	-	-	+	-	-	-	+	-	+	+	-	+	n	+	-	-	+	-	-	-	+	-	-
ⁿtʃʼ	-	-	+	-	-	-	+	-	+	+	-	+	n	+	-	-	+	-	-	-	+	-	-
n̪t̪ʼ	-	-	+	-	-	-	+	-	+	-	-	+	n	-	-	+	+	-	-	-	+	-	-
n̪t̪ʼ	-	-	+	-	-	-	+	-	+	-	-	+	n	-	-	+	+	-	-	-	+	-	-
nʷ	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	+	+	-	-	-
ⁿz	-	-	+	-	+	+	-	-	+	+	-	-	n	-	-	+	+	-	-	-	-	-	-
n̪z̪	-	-	+	-	+	+	-	-	+	+	-	-	n	-	-	+	+	-	-	-	+	-	-
nzʷ	-	-	+	-	+	+	-	-	+	+	-	-	n	-	-	+	+	-	+	+	-	-	-
ⁿʒ	-	-	+	-	+	+	-	-	+	+	-	-	n	+	-	-	+	-	-	-	+	-	-
ⁿʒ	-	-	+	-	+	+	-	-	+	+	-	-	n	+	-	-	+	-	-	-	+	-	-
n̪ʼ	-	-	+	+	-	+	+	-	+	-	-	+	n	-	-	+	+	-	-	-	+	-	-
n̪ʼ	-	-	+	+	-	+	+	-	+	-	-	+	n	-	-	+	+	-	-	-	+	-	-
nˤ	-	-	+	+	-	+	-	-	+	-	-	-	n	-	+	+	+	+	-	-	-	-	-
nˤ	-	-	+	+	-	+	-	-	+	-	-	-	n	-	+	+	+	+	-	-	-	-	-
nˤː	-	-	+	+	-	+	-	-	+	-	-	-	n	-	+	+	+	+	-	-	-	+	-
ⁿǀ	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	+	-	-
nǀ	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	+	-	-
nǁ	-	-	+	-	-	-	-	+	+	-	-	n	n	+	-	+	+	+	-	-	.	-	-
nǂ	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	-	+	+	-	-	+	-	-
nǃ	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ɴ	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	-	-	+	-	-	.	-	-
ɴʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	-	-	-	-	+	-	-	.	-	-
ɴʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	-	-	-	-	+	-	-	.	-	-
ɲ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
ɲ̥	-	-	+	+	-	-	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
ɲ̥	-	-	+	+	-	-	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
ɲː	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	+	-
ɲ̥cʃ	-	-	+	-	-	-	-	-	.	+	-	.	n	+	-	-	.	-	-	-	+	-	-
ɲʰ	-	-	+	+	-	+	-	n	+	-	+	+	n	+	-	-	-	-	-	-	.	-	-
ɲ̥ʰ	-	-	+	+	-	-	-	n	+	-	+	+	n	+	-	-	-	-	-	-	.	-	-
ɲ͡n̪	-	-	+	+	-	+	-	-	+	-	-	-	n	.	-	-	.	-	-	-	+	-	-
ɲ͡ŋ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	.	-	-	+	-	-
ɲ͡ŋw	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	.	+	+	+	-	-
ɲ̥ʃ	-	-	+	-	+	-	-	-	.	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ɲɥ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	-	+	+	.	-	-
ɳ	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	-	+	-	-	-	-	-	-
ɳɖɽ	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	-	+	-	-	-	-	-	-
ɳʷ	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	-	+	-	+	+	-	-	-
ŋ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ŋ̥	-	-	+	+	-	-	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ŋː	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	+	-
ŋː	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	+	-
ŋɡ̥	-	-	+	-	-	-	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ŋʰ	-	-	+	+	-	+	-	n	+	-	+	+	n	+	-	-	-	+	-	-	.	-	-
ŋ̥ʰ	-	-	+	+	-	-	-	n	+	-	+	+	n	+	-	-	-	+	-	-	.	-	-
ŋkxʼ	-	-	+	-	-	-	+	n	+	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ŋkxʼ	-	-	+	-	-	-	+	n	+	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ŋ͡m	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
ŋ͡m	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
ŋ͡mʲ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
ŋ͡mʲ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
ŋtw	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	+	+	-	-	-
ŋʷ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	+	+	+	.	-	-
ŋʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ŋʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ŋʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	+	-	-	-	+	-	-	.	-	-
o	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
ŏ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	+
õ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	+	+	+	n	-	-
õ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	+	+	+	n	-	-
ø	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	+	+	n	-	-
ø̆	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	+	+	n	-	+
o̝	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
õ̝	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	+	+	+	n	-	-
o̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	-	-
o̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	-	-
o̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	-	-
o̞	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
o̤	+	+	-	+	+	+	-	n	-	-	+	+	+	-	-	-	-	+	+	+	n	-	-
o̤	+	+	-	+	+	+	-	n	-	-	+	+	+	-	-	-	-	+	+	+	n	-	-
õ̤	+	+	-	+	+	+	-	n	+	-	+	+	+	-	-	-	-	+	+	+	n	-	-
o̥	+	-	-	+	+	-	-	n	-	-	+	+	+	-	-	-	-	+	+	+	n	-	-
o̯	-	-	-	+	+	+	-	n	-	-	-	.	n	-	-	+	-	+	-	+	.	-	-
oː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	+	-
oː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	+	-
õː	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	+	+	+	n	+	-
øː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	+	+	n	+	-
o̝ː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	+	-
o̤ː	+	+	-	+	+	+	-	n	-	-	+	+	+	-	-	-	-	+	+	+	n	+	-
oːː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	+	+
o̯a	+	+	-	+	+	+	-	n	-	-	-	+	+	-	.	-	-	+	.	-	n	+	-
œ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	+	+	n	-	-
œ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	-	+	+	n	-	-
œː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	+	+	n	+	-
œi	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	-	.	-	n	+	-
œu	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	.	+	+	n	+	-
oə	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	.	-	n	+	-
øə	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	.	.	-	n	+	-
oi	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	.	+	+	n	+	-
oj	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	.	-	n	+	-
omf	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
õⁿ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	+	+	+	n	-	-
ou	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	+	+	n	+	-
o̯u	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	+	+	n	+	-
oʊ	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	+	+	n	+	-
oʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
õʔ	+	+	-	+	+	+	+	n	+	-	-	+	+	-	-	-	-	+	+	+	n	-	-
o̤ʔ	+	+	-	+	+	+	+	n	-	-	+	+	+	-	-	-	-	+	+	+	n	-	-
õ̤ʔ	+	+	-	+	+	+	+	n	+	-	+	+	+	-	-	-	-	+	+	+	n	-	-
oʔo	+	+	-	+	+	+	+	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
oˤ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	+	+	n	-	-
õˤ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	+	-	-	+	+	+	n	-	-
o̤ˤ	+	+	-	+	+	+	-	n	-	-	+	+	+	-	+	-	-	+	+	+	n	-	-
õ̤ˤ	+	+	-	+	+	+	-	n	+	-	+	+	+	-	+	-	-	+	+	+	n	-	-
ɔ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	-	-
ɔ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	+	+	n	-	-
ɔ̘	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
ɔ̝	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	-	-
ɔ̥	+	-	-	+	+	-	-	n	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-
ɔː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	+	-
ɔː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	+	-
ɔ̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	+	+	n	+	-
ɔ̝ː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	+	-
ɔi	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	.	.	-	n	+	-
ɔi̯	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	.	.	-	n	+	-
ɔj	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	+	.	-	n	+	-
ɔʔ	+	+	-	+	+	+	+	n	-	-	-	-	-	-	-	-	-	+	+	+	n	-	-
ɔ̃ʔ	+	+	-	+	+	+	+	n	+	-	-	-	-	-	-	-	-	+	+	+	n	-	-
ɵ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
p	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
p̀	-	-	+	-	-	-	-	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
p*	-	-	+	-	-	-	-	n	-	-	-	-	n	-	-	+	-	-	-	+	+	-	-
p<	-	-	+	-	-	-	-	n	-	-	-	n	n	-	-	+	-	-	-	+	+	-	-
pː	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	+	-
pː	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	+	-
pf	-	-	+	-	-	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
pfʰ	-	-	+	-	-	-	-	n	-	+	+	+	n	-	-	+	-	-	-	+	-	-	-
pˠ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	+	-	+	+	-	-
pʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	-	-	+	-	-	-	+	+	-	-
pʰʷ	-	-	+	-	-	-	-	n	-	-	+	+	n	-	-	+	-	-	+	+	+	-	-
pʰʷ	-	-	+	-	-	-	-	n	-	-	+	+	n	-	-	+	-	-	+	+	+	-	-
pɦ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
pʲ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	-	-	+	+	-	-
pʲʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	+	-	-	-	+	+	-	-
p͡k	-	-	+	-	-	-	-	n	-	-	-	.	n	.	-	.	-	.	-	.	.	-	-
p͡kʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	+	-	+	-	+	.	-	-
pˡ	-	-	+	-	-	-	-	+	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
pɸ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
ps	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
ps	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
pʃʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	.	-	-	.	-	-	-	+	-	-
pʃʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	.	-	-	.	-	-	-	+	-	-
pʃʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	.	-	-	.	-	-	-	+	-	-
p͡t	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	.	-	-	.	.	-	-
p͡ts	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
pv	-	-	+	-	-	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
pʷ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	+	+	+	-	-
pʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	+	-	-	+	+	+	-	-
pʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	+	-	-	+	+	+	-	-
pʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
pʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
pʼˤ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	+	-	+	-	+	+	-	-
pʼˤ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	+	-	+	-	+	+	-	-
pˤ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	+	+	-	+	-	+	+	-	-
pˤ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	+	+	-	+	-	+	+	-	-
p	-	-	+	-	-	-	-	n	+	-	-	.	n	-	-	+	-	-	-	+	+	-	-
ɸ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
q	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
qː	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	+	-
qʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	-	-	-	-	+	-	-	.	-	-
qʰʷ	-	-	+	-	-	-	-	n	-	-	+	+	n	-	-	-	-	+	+	+	.	-	-
qʲ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
qɰ	-	-	-	+	+	+	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
qʷ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	-	-	+	+	+	.	-	-
qʷː	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	-	-	+	+	+	.	+	-
qʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	-	-	+	+	+	.	-	-
qʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	-	-	+	+	+	.	-	-
qʔ	-	-	+	-	-	-	+	+	-	-	-	+	n	-	-	+	+	+	-	-	.	-	-
qʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	-	-	+	-	-	.	-	-
qʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	-	-	+	-	-	.	-	-
qʼʲ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
qʼʲ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
qʼʷ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	-	-	+	+	+	.	-	-
qʼʷ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	-	-	+	+	+	.	-	-
qʼˤ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	-	-	+	-	-	.	-	-
qʼˤ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	-	-	+	-	-	.	-	-
qʼˤʷ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	-	-	+	+	+	.	-	-
qʼˤʷ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	-	-	+	+	+	.	-	-
qˤ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	+	-	-	+	-	-	.	-	-
qˤʷ	-	-	+	-	-	-	-	n	-	-	-	+	n	-	+	-	-	+	+	+	.	-	-
qˤʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	-	-	+	-	-	.	-	-
qˤʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	-	-	+	-	-	.	-	-
qχ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
r	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ř	-	+	+	+	+	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
r̃	-	+	+	+	+	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
r̟	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
r̥	-	-	+	+	+	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
r̥	-	-	+	+	+	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
r̪	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
rː	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	+	-
rː	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	+	-
r͡ɣw	-	.	+	.	-	+	-	-	-	+	-	.	n	.	-	+	.	.	+	.	.	-	-
rʰ	-	+	+	+	+	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
r̥ʰ	-	-	+	+	+	-	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
rʲ	-	+	+	+	+	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
r̟ʲ	-	+	+	+	+	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
r̟ʲ	-	+	+	+	+	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
r̪ʲ	-	+	+	+	+	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	+	-	-
rʷ	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	+	+	-	-	-
rʼ	-	+	+	+	+	+	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
rʼ	-	+	+	+	+	+	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
rˤ	-	+	+	+	+	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
rˤː	-	+	+	+	+	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	+	-
ʀ	-	+	+	+	+	+	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
ʀʼ	-	+	+	+	+	+	+	n	-	-	-	+	n	-	-	-	-	+	-	-	.	-	-
ʀʼ	-	+	+	+	+	+	+	n	-	-	-	+	n	-	-	-	-	+	-	-	.	-	-
ɹ	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ɹ	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ɹː	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	+	-
ɺ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	.	-	-	.	-	-
ɻ	-	-	-	+	+	+	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɽ	-	+	+	+	-	+	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɽʰ	-	+	+	+	-	+	-	-	-	-	+	+	n	-	-	-	+	-	-	-	-	-	-
ɽʰ	-	+	+	+	-	+	-	-	-	-	+	+	n	-	-	-	+	-	-	-	-	-	-
ɾ	-	+	+	+	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ɾ̃	-	+	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
ɾ̪	-	+	+	+	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
ɾð	-	+	+	+	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ɾʲ	-	+	+	+	-	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
ɾˡ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ɾˤ	-	+	+	+	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
ɾ̪ˤ	-	+	+	+	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
ʁ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
ʁː	-	-	+	-	+	+	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	+	-
ʁʲ	-	-	+	-	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ʁʷ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	-	-	-	+	+	+	.	-	-
ʁˤ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	+	-	-	+	-	-	.	-	-
ʁˤʷ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	+	-	-	+	+	+	.	-	-
s	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
s̀	-	-	+	-	+	-	-	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
š	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
s̞	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
s̪	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
s̻	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
sː	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	+	-
s̪ː	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	+	-
sˠ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	+	+	+	-	-	-	-	-
sʰ	-	-	+	-	+	-	-	-	-	+	+	+	n	-	-	+	+	-	-	-	-	-	-
sʲ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	+	+	-	-	-	-	-	-
