	vocalic 	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
c	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
ç	-	+	-	-	-	-	-	.	+	-	-	-	-	-	-
cç	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
cçʰ	-	+	+	-	-	-	-	+	+	-	-	-	-	-	-
cçʼ	-	+	+	-	+	-	-	.	+	-	-	-	-	-	-
cçʼ	-	+	+	-	+	-	-	.	+	-	-	-	-	-	-
cɕ	-	+	+	-	-	-	+	.	+	-	-	-	-	-	-
c̀ɕ	-	+	+	-	-	-	+	+	+	-	-	-	-	-	-
cɕʰ	-	+	+	-	-	-	+	+	+	-	-	-	-	-	-
cɕʼ	-	+	+	-	+	-	+	.	+	-	-	-	-	-	-
cɕʼ	-	+	+	-	+	-	+	.	+	-	-	-	-	-	-
cʰ	-	+	+	-	-	-	-	+	+	-	-	-	-	-	-
cʃ	-	+	+	-	-	-	+	.	+	-	-	-	-	-	-
cʷ	-	+	+	-	-	-	-	.	+	-	-	-	+	-	-
çʷ	-	+	-	-	-	-	-	.	+	-	-	-	+	-	-
cʼ	-	+	+	-	+	-	-	.	+	-	-	-	-	-	-
cʼ	-	+	+	-	+	-	-	.	+	-	-	-	-	-	-
cˤ	-	+	+	-	-	-	-	.	+	-	-	-	+	-	-
c	-	+	+	-	-	.	-	.	+	-	-	-	-	-	-
ɕ	-	+	-	-	-	-	+	.	+	-	-	-	-	-	-
ɕʰ	-	+	-	-	-	-	+	+	+	-	-	-	-	-	-
ɕɥ	-	+	-	-	-	-	+	.	+	+	-	-	+	-	-
d	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
d̀	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
d̂	-	+	+	+	-	-	-	-	-	-	+	-	-	-	-
d̏	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
d̥	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
d̪	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
d̻	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ð	-	+	-	+	-	-	-	.	-	-	+	-	-	-	-
d̪ː	-	+	+	+	-	-	-	.	-	-	+	-	-	+	-
dːʒ	-	+	+	+	-	-	+	.	+	-	-	-	-	+	-
dð	-	+	+	+	-	-	-	.	-	-	+	.	-	-	-
d̪ð	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
dˠ	-	+	+	+	-	-	-	.	-	.	+	-	-	-	-
ðˠ	-	+	-	+	-	-	-	.	-	.	+	-	-	-	-
dɣw	-	+	+	+	-	-	-	.	.	-	.	.	+	-	-
dʰ	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
dʰ	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
d̪ʰ	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
dʲ	-	+	+	+	-	-	-	.	-	+	+	-	-	-	-
dʲ	-	+	+	+	-	-	-	.	-	+	+	-	-	-	-
dʲ	-	+	+	+	-	-	-	.	-	+	+	-	-	-	-
d̪ʲ	-	+	+	+	-	-	-	.	-	+	+	-	-	-	-
ðʲ	-	+	-	+	-	-	-	.	-	+	+	-	-	-	-
dʝ	-	+	+	+	-	-	-	.	.	-	.	-	-	-	-
dl	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
