	vocalic 	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
ɨː	+	-	-	+	-	-	-	+	-	-	+	+	-	+	-
ɨː	+	-	-	+	-	-	-	+	-	-	+	+	-	+	-
ɨ̃ː	+	-	-	+	-	+	-	+	-	-	+	+	-	+	-
ɨːː	+	-	-	+	-	-	-	+	-	-	+	+	-	+	+
ɨʔɨ	+	-	-	+	+	-	-	+	-	-	+	+	-	-	-
ɨ̃ʔɨ̃	+	-	-	+	+	+	-	+	-	-	+	+	-	-	-
ɨ̃ʔɨ̃	+	-	-	+	+	+	-	+	-	-	+	+	-	-	-
j	-	-	-	+	-	-	-	.	+	-	-	-	-	-	-
ĵ	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-
j̃	-	-	-	+	-	+	-	.	+	-	-	-	-	-	-
j̥	-	-	-	-	-	-	-	.	+	-	-	-	-	-	-
jː	-	-	-	+	-	-	-	.	+	-	-	-	-	+	-
je	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
jẽ	+	-	-	+	-	+	-	+	-	-	+	-	-	+	-
jeː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
jʰ	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-
jʷ	-	-	-	+	-	-	-	.	+	-	-	-	+	-	-
jʼ	-	-	-	+	+	-	-	.	+	-	-	-	-	-	-
jʼ	-	-	-	+	+	-	-	.	+	-	-	-	-	-	-
jʼ	-	-	-	+	+	-	-	.	+	-	-	-	-	-	-
ʝ	-	+	-	+	-	-	-	.	+	-	-	-	-	-	-
ʝʼ	-	+	-	+	+	-	-	.	+	-	-	-	-	-	-
ʝʼ	-	+	-	+	+	-	-	.	+	-	-	-	-	-	-
ɟ	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
ɟ̥	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
ɟʰ	-	+	+	+	-	-	-	+	+	-	-	-	-	-	-
ɟʝ	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
ɟʷ	-	+	+	+	-	-	-	.	+	-	-	-	+	-	-
ɟʑ	-	+	+	+	-	-	+	.	+	-	-	-	-	-	-
ʄ	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
ʄ̥	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
k	-	+	+	-	-	-	-	.	+	-	-	+	-	-	-
k̀	-	+	+	-	-	-	-	+	+	-	-	+	-	-	-
k̂	-	+	+	-	-	-	-	-	+	-	-	+	-	-	-
kː	-	+	+	-	-	-	-	.	+	-	-	+	-	+	-
kː	-	+	+	-	-	-	-	.	+	-	-	+	-	+	-
kf	-	+	+	.	-	-	+	.	.	-	.	+	-	-	-
kʰ	-	+	+	-	-	-	-	+	+	-	-	+	-	-	-
kʰʲ	-	+	+	-	-	-	-	+	+	+	-	+	-	-	-
kʰʷ	-	+	+	-	-	-	-	+	+	-	-	+	+	-	-
kʰʷ	-	+	+	-	-	-	-	+	+	-	-	+	+	-	-
kʲ	-	+	+	-	-	-	-	.	+	+	-	+	-	-	-
klʼ	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
klʼ	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
k̂͡p̂	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-
k͡p	-	+	+	-	-	-	-	.	-	-	-	+	-	-	-
k͡p	-	+	+	-	-	-	-	.	-	-	-	+	-	-	-
k͡pʲ	-	+	+	-	-	-	-	.	-	+	-	+	-	-	-
k͡pʷ	-	+	+	-	-	-	-	.	-	-	-	+	+	-	-
kʷ	-	+	+	-	-	-	-	.	+	-	-	+	+	-	-
k̀ʷ	-	+	+	-	-	-	-	+	+	-	-	+	+	-	-
kʷː	-	+	+	-	-	-	-	.	+	-	-	+	+	+	-
kʷɦ	-	+	+	-	-	-	-	+	+	-	-	+	+	-	-
kʷʼ	-	+	+	-	+	-	-	.	+	-	-	+	+	-	-
kʷʼ	-	+	+	-	+	-	-	.	+	-	-	+	+	-	-
kxʰ	-	+	+	-	-	-	-	+	+	-	-	+	-	-	-
kxʼ	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
kxʼ	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
kʼ	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
kʼ	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
kʼʲ	-	+	+	-	+	-	-	.	+	+	-	+	-	-	-
kʼʲ	-	+	+	-	+	-	-	.	+	+	-	+	-	-	-
kʼʷ	-	+	+	-	+	-	-	.	+	-	-	+	+	-	-
kʼʷ	-	+	+	-	+	-	-	.	+	-	-	+	+	-	-
kˤ	-	+	+	-	-	-	-	.	+	-	-	+	+	-	-
k	-	+	+	-	-	.	-	.	+	-	-	+	-	-	-
l	+	+	-	+	-	-	-	.	-	-	+	-	-	-	-
l̃	+	+	-	+	-	+	-	.	-	-	+	-	-	-	-
l̟	+	+	-	+	-	-	-	.	.	-	.	-	-	-	-
l̤	+	+	-	+	-	-	-	.	-	-	+	-	-	-	-
l̥	-	+	-	-	-	-	-	.	-	-	+	-	-	-	-
l̩	+	+	-	+	-	-	-	.	-	-	+	-	-	-	-
l̪	+	+	-	+	-	-	-	.	-	-	+	-	-	-	-
lː	+	+	-	+	-	-	-	.	-	-	+	-	-	+	-
lː	+	+	-	+	-	-	-	.	-	-	+	-	-	+	-
l̪ː	+	+	-	+	-	-	-	.	-	-	+	-	-	+	-
lˠ	+	+	-	+	-	-	-	.	-	.	+	-	-	-	-
lˠ	+	+	-	+	-	-	-	.	-	.	+	-	-	-	-
lˠʷ	+	+	-	+	-	-	-	.	-	-	+	-	+	-	-
lʰ	+	+	-	+	-	-	-	+	-	-	+	-	-	-	-
l̥ʰ	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-
l̪ʰ	+	+	-	+	-	-	-	+	-	-	+	-	-	-	-
lʲ	+	+	-	+	-	-	-	.	-	+	+	-	-	-	-
l̟ʲ	+	+	-	+	-	-	-	.	.	+	.	-	-	-	-
l̟ʲ	+	+	-	+	-	-	-	.	.	+	.	-	-	-	-
l̪ʲ	+	+	-	+	-	-	-	.	-	+	+	-	-	-	-
lɥ	+	+	-	+	-	-	-	.	-	+	+	-	+	-	-
lʷ	+	+	-	+	-	-	-	.	-	-	+	-	+	-	-
lʼ	+	+	-	+	+	-	-	.	-	-	+	-	-	-	-
lʼ	+	+	-	+	+	-	-	.	-	-	+	-	-	-	-
l̪ʼ	+	+	-	+	+	-	-	.	-	-	+	-	-	-	-
l̪ʼ	+	+	-	+	+	-	-	.	-	-	+	-	-	-	-
lˤ	+	+	-	+	-	-	-	.	-	-	+	-	+	-	-
l̪ˤ	+	+	-	+	-	-	-	.	-	-	+	-	+	-	-
l̪ˤ	+	+	-	+	-	-	-	.	-	-	+	-	+	-	-
l̪ˤː	+	+	-	+	-	-	-	.	-	-	+	-	+	+	-
lǃ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
l̪θ	.	+	-	.	-	-	-	.	-	-	+	-	-	-	-
ɬ	-	+	-	-	-	-	-	.	-	-	+	-	-	-	-
ɬ̀	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-
ɬʷ	-	+	-	-	-	-	-	.	-	-	+	-	+	-	-
ɬʼ	-	+	-	-	+	-	-	.	-	-	+	-	-	-	-
ɬʼ	-	+	-	-	+	-	-	.	-	-	+	-	-	-	-
ɬʼ	-	+	-	-	+	-	-	.	-	-	+	-	-	-	-
ɭ	+	+	-	+	-	-	-	.	+	-	-	-	+	-	-
ɮ	-	+	-	+	-	-	-	.	-	-	+	-	-	-	-
ʎ	+	+	-	+	-	-	-	.	+	-	-	-	-	-	-
ʎ̥	-	+	-	-	-	-	-	.	+	-	-	-	-	-	-
m	-	+	+	+	-	+	-	.	-	-	+	+	-	-	-
m̂	-	+	+	+	-	+	-	-	-	-	+	+	-	-	-
m̏	-	+	+	+	-	+	-	+	-	-	+	+	-	-	-
m̤	-	+	+	+	-	+	-	.	-	-	+	+	-	-	-
m̥	-	+	+	-	-	+	-	.	-	-	+	+	-	-	-
m̩	-	+	+	+	-	+	-	.	-	-	+	+	-	-	-
m<	-	+	+	+	-	+	-	.	-	-	+	+	-	-	-
mː	-	+	+	+	-	+	-	.	-	-	+	+	-	+	-
mː	-	+	+	+	-	+	-	.	-	-	+	+	-	+	-
mb̥	-	+	+	-	-	.	-	.	-	-	+	+	-	-	-
mˠ	-	+	+	+	-	+	-	.	-	.	+	+	-	-	-
mʰ	-	+	+	+	-	+	-	+	-	-	+	+	-	-	-
m̥ʰ	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-
mʲ	-	+	+	+	-	+	-	.	-	+	+	+	-	-	-
mˡ	-	+	+	+	-	+	-	.	-	-	+	+	-	-	-
mnl	-	+	+	+	-	+	-	.	-	-	+	.	-	-	-
m͡ŋ	-	+	+	+	-	+	-	.	.	-	.	+	-	-	-
mʷ	-	+	+	+	-	+	-	.	-	-	+	+	+	-	-
mʼ	-	+	+	+	+	+	-	.	-	-	+	+	-	-	-
mʼ	-	+	+	+	+	+	-	.	-	-	+	+	-	-	-
mʼ	-	+	+	+	+	+	-	.	-	-	+	+	-	-	-
mˤ	-	+	+	+	-	+	-	.	-	-	+	+	+	-	-
mǀG	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
mǁG	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
mǂG	-	+	+	-	-	.	-	.	+	-	-	-	-	-	-
mǃG	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
mʘG	-	+	+	-	-	.	-	.	-	-	+	+	-	-	-
mβ	-	+	-	+	-	+	-	.	-	-	+	+	-	-	-
ɱ̥f	-	+	-	-	-	.	+	.	-	-	+	+	-	-	-
n	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̂	-	+	+	+	-	+	-	-	-	-	+	-	-	-	-
n̏	-	+	+	+	-	+	-	+	-	-	+	-	-	-	-
n̞	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̟	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̤	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̥	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
N̩	-	+	+	+	-	+	-	.	.	-	.	.	-	-	-
n̩	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̪	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̻	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
N?	-	+	+	+	-	+	-	.	.	-	.	.	-	-	-
n’	-	+	+	+	+	+	-	.	-	-	+	-	-	-	-
n’	-	+	+	+	+	+	-	.	-	-	+	-	-	-	-
n’	-	+	+	+	+	+	-	.	-	-	+	-	-	-	-
nː	-	+	+	+	-	+	-	.	-	-	+	-	-	+	-
nː	-	+	+	+	-	+	-	.	-	-	+	-	-	+	-
n̪ː	-	+	+	+	-	+	-	.	-	-	+	-	-	+	-
ⁿc	-	+	+	-	-	.	-	.	+	-	-	-	-	-	-
ⁿc	-	+	+	-	-	.	-	.	+	-	-	-	-	-	-
ⁿd	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
nd̥	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ⁿd̪	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ⁿd̪	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
nð	-	+	-	+	-	.	-	.	-	-	+	-	-	-	-
ⁿdʲ	-	+	+	+	-	.	-	.	-	+	+	-	-	-	-
ⁿdl	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ⁿdlʼ	-	+	+	+	+	.	-	.	-	-	+	-	-	-	-
ⁿdlʼ	-	+	+	+	+	.	-	.	-	-	+	-	-	-	-
ⁿdɮ	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ⁿdʷ	-	+	+	+	-	.	-	.	-	-	+	-	+	-	-
ⁿdz	-	+	+	+	-	.	+	.	-	-	+	-	-	-	-
ⁿdʒ	-	+	+	+	-	.	+	.	+	-	-	-	-	-	-
ⁿdʒ	-	+	+	+	-	.	+	.	+	-	-	-	-	-	-
ⁿdβ	-	+	+	+	-	.	-	.	-	-	+	.	-	-	-
ⁿɖ	-	+	+	+	-	.	-	.	+	-	-	-	+	-	-
ⁿɡʷ	-	+	+	+	-	.	-	.	+	-	-	+	+	-	-
nɡǀ	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
nɡǁ	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
nɡǂ	-	+	+	+	-	.	-	.	+	-	-	-	-	-	-
nɡǃ	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
nʰ	-	+	+	+	-	+	-	+	-	-	+	-	-	-	-
n̪ʰ	-	+	+	+	-	+	-	+	-	-	+	-	-	-	-
nʲ	-	+	+	+	-	+	-	.	-	+	+	-	-	-	-
nʲ	-	+	+	+	-	+	-	.	-	+	+	-	-	-	-
n̟ʲ	-	+	+	+	-	+	-	.	-	+	+	-	-	-	-
n̟ʲ	-	+	+	+	-	+	-	.	-	+	+	-	-	-	-
n̪ʲ	-	+	+	+	-	+	-	.	-	+	+	-	-	-	-
ⁿɟ	-	+	+	+	-	.	-	.	+	-	-	-	-	-	-
ⁿɟ	-	+	+	+	-	.	-	.	+	-	-	-	-	-	-
ⁿk	-	+	+	+	-	.	-	.	+	-	-	+	-	-	-
nkǀ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
nkǃ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ⁿɬ	-	+	-	-	-	.	-	.	-	-	+	-	-	-	-
ⁿɮ	-	+	-	+	-	.	-	.	-	-	+	-	-	-	-
nŋw	-	+	+	+	-	+	-	.	.	-	.	.	+	-	-
ⁿr	+	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ⁿs	-	+	-	-	-	.	+	.	-	-	+	-	-	-	-
n̞s̞	-	+	-	-	-	.	+	.	-	-	+	-	-	-	-
n̥s	-	+	-	-	-	.	+	.	-	-	+	-	-	-	-
ⁿʃ	-	+	-	-	-	.	+	.	+	-	-	-	-	-	-
ⁿt	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
n̪t̪	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ⁿtʰ	-	+	+	-	-	.	-	+	-	-	+	-	-	-	-
ⁿtʰ	-	+	+	-	-	.	-	+	-	-	+	-	-	-	-
ⁿtɬ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ⁿtɸ	-	+	+	-	-	.	-	.	-	-	+	.	-	-	-
ⁿts	-	+	+	-	-	.	+	.	-	-	+	-	-	-	-
ⁿtsʼ	-	+	+	-	+	.	+	.	-	-	+	-	-	-	-
ⁿtsʼ	-	+	+	-	+	.	+	.	-	-	+	-	-	-	-
ⁿtʃ	-	+	+	-	-	.	+	.	+	-	-	-	-	-	-
ⁿtʃʰʷ	-	+	+	-	-	.	+	+	+	-	-	-	+	-	-
ⁿtʃʷ	-	+	+	-	-	.	+	.	+	-	-	-	+	-	-
ⁿtʃʼ	-	+	+	-	+	.	+	.	+	-	-	-	-	-	-
ⁿtʃʼ	-	+	+	-	+	.	+	.	+	-	-	-	-	-	-
n̪t̪ʼ	-	+	+	-	+	.	-	.	-	-	+	-	-	-	-
n̪t̪ʼ	-	+	+	-	+	.	-	.	-	-	+	-	-	-	-
nʷ	-	+	+	+	-	+	-	.	-	-	+	-	+	-	-
ⁿz	-	+	-	+	-	.	+	.	-	-	+	-	-	-	-
n̪z̪	-	+	-	+	-	.	+	.	-	-	+	-	-	-	-
nzʷ	-	+	-	+	-	.	+	.	-	-	+	-	+	-	-
ⁿʒ	-	+	-	+	-	.	+	.	+	-	-	-	-	-	-
ⁿʒ	-	+	-	+	-	.	+	.	+	-	-	-	-	-	-
n̪ʼ	-	+	+	+	+	+	-	.	-	-	+	-	-	-	-
n̪ʼ	-	+	+	+	+	+	-	.	-	-	+	-	-	-	-
nˤ	-	+	+	+	-	+	-	.	-	-	+	-	+	-	-
nˤ	-	+	+	+	-	+	-	.	-	-	+	-	+	-	-
nˤː	-	+	+	+	-	+	-	.	-	-	+	-	+	+	-
ⁿǀ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
nǀ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
nǁ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
nǂ	-	+	+	-	-	.	-	.	+	-	-	-	-	-	-
nǃ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ɴ	-	+	+	+	-	+	+	.	+	-	-	+	-	-	-
ɴʼ	-	+	+	+	+	+	+	.	+	-	-	+	-	-	-
ɴʼ	-	+	+	+	+	+	+	.	+	-	-	+	-	-	-
ɲ	-	+	+	+	-	+	-	.	+	-	-	-	-	-	-
ɲ̥	-	+	+	-	-	+	-	.	+	-	-	-	-	-	-
ɲ̥	-	+	+	-	-	+	-	.	+	-	-	-	-	-	-
ɲː	-	+	+	+	-	+	-	.	+	-	-	-	-	+	-
ɲ̥cʃ	-	+	+	-	-	.	+	.	+	-	-	-	-	-	-
ɲʰ	-	+	+	+	-	+	-	+	+	-	-	-	-	-	-
ɲ̥ʰ	-	+	+	-	-	+	-	+	+	-	-	-	-	-	-
ɲ͡n̪	-	+	+	+	-	+	-	.	.	-	.	-	-	-	-
ɲ͡ŋ	-	+	+	+	-	+	-	.	+	-	-	.	-	-	-
ɲ͡ŋw	-	+	+	+	-	+	-	.	+	-	-	.	+	-	-
ɲ̥ʃ	-	+	-	-	-	.	+	.	+	-	-	-	-	-	-
ɲɥ	-	+	+	+	-	+	-	.	+	+	-	-	+	-	-
ɳ	-	+	+	+	-	+	-	.	+	-	-	-	+	-	-
ɳɖɽ	-	+	+	+	-	.	-	.	+	-	-	-	+	-	-
ɳʷ	-	+	+	+	-	+	-	.	+	-	-	-	+	-	-
ŋ	-	+	+	+	-	+	-	.	+	-	-	+	-	-	-
ŋ̥	-	+	+	-	-	+	-	.	+	-	-	+	-	-	-
ŋː	-	+	+	+	-	+	-	.	+	-	-	+	-	+	-
ŋː	-	+	+	+	-	+	-	.	+	-	-	+	-	+	-
ŋɡ̥	-	+	+	-	-	.	-	.	+	-	-	+	-	-	-
ŋʰ	-	+	+	+	-	+	-	+	+	-	-	+	-	-	-
ŋ̥ʰ	-	+	+	-	-	+	-	+	+	-	-	+	-	-	-
ŋkxʼ	-	+	+	-	+	.	-	.	+	-	-	+	-	-	-
ŋkxʼ	-	+	+	-	+	.	-	.	+	-	-	+	-	-	-
ŋ͡m	-	+	+	+	-	+	-	.	-	-	-	+	-	-	-
ŋ͡m	-	+	+	+	-	+	-	.	-	-	-	+	-	-	-
ŋ͡mʲ	-	+	+	+	-	+	-	.	-	+	-	+	-	-	-
ŋ͡mʲ	-	+	+	+	-	+	-	.	-	+	-	+	-	-	-
ŋtw	-	+	+	-	-	.	-	.	-	-	+	-	+	-	-
ŋʷ	-	+	+	+	-	+	-	.	+	-	-	+	+	-	-
ŋʼ	-	+	+	+	+	+	-	.	+	-	-	+	-	-	-
ŋʼ	-	+	+	+	+	+	-	.	+	-	-	+	-	-	-
ŋʼ	-	+	+	+	+	+	-	.	+	-	-	+	-	-	-
o	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
ŏ	+	-	-	+	-	-	-	+	-	-	-	+	+	-	+
õ	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
õ	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
ø	+	-	-	+	-	-	-	+	-	-	-	-	+	-	-
ø̆	+	-	-	+	-	-	-	+	-	-	-	-	+	-	+
o̝	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
õ̝	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
o̞	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
o̞	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
o̞	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
o̞	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
o̤	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
o̤	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
õ̤	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
o̥	-	-	-	-	-	-	-	+	-	-	-	+	+	-	-
o̯	-	-	-	+	-	-	-	.	-	-	-	+	-	-	-
oː	+	-	-	+	-	-	-	+	-	-	-	+	+	+	-
oː	+	-	-	+	-	-	-	+	-	-	-	+	+	+	-
õː	+	-	-	+	-	+	-	+	-	-	-	+	+	+	-
øː	+	-	-	+	-	-	-	+	-	-	-	-	+	+	-
o̝ː	+	-	-	+	-	-	-	+	-	-	-	+	+	+	-
o̤ː	+	-	-	+	-	-	-	+	-	-	-	+	+	+	-
oːː	+	-	-	+	-	-	-	+	-	-	-	+	+	+	+
o̯a	+	-	-	+	-	-	-	+	-	-	-	-	.	+	-
œ	+	-	-	+	-	-	-	-	-	-	-	-	+	-	-
œ̃	+	-	-	+	-	+	-	-	-	-	-	-	+	-	-
œː	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-
œi	+	-	-	+	-	-	-	-	-	-	+	-	.	+	-
œu	+	-	-	+	-	-	-	-	-	-	+	.	+	+	-
oə	+	-	-	+	-	-	-	+	-	-	-	-	.	+	-
øə	+	-	-	+	-	-	-	+	-	-	-	.	.	+	-
oi	+	-	-	+	-	-	-	+	-	-	+	.	+	+	-
oj	+	-	-	+	-	-	-	+	-	-	+	.	.	+	-
omf	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
õⁿ	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
ou	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
o̯u	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
oʊ	+	-	-	+	-	-	-	.	-	-	+	+	+	+	-
oʔ	+	-	-	+	+	-	-	+	-	-	-	+	+	-	-
õʔ	+	-	-	+	+	+	-	+	-	-	-	+	+	-	-
o̤ʔ	+	-	-	+	+	-	-	+	-	-	-	+	+	-	-
õ̤ʔ	+	-	-	+	+	+	-	+	-	-	-	+	+	-	-
oʔo	+	-	-	+	+	-	-	+	-	-	-	+	+	-	-
oˤ	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
õˤ	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
o̤ˤ	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
õ̤ˤ	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
ɔ	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
ɔ̃	+	-	-	+	-	+	-	-	-	-	-	+	+	-	-
ɔ̘	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
ɔ̝	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
ɔ̥	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-
ɔː	+	-	-	+	-	-	-	-	-	-	-	+	+	+	-
ɔː	+	-	-	+	-	-	-	-	-	-	-	+	+	+	-
ɔ̃ː	+	-	-	+	-	+	-	-	-	-	-	+	+	+	-
ɔ̝ː	+	-	-	+	-	-	-	-	-	-	-	+	+	+	-
ɔi	+	-	-	+	-	-	-	-	-	-	+	.	.	+	-
ɔi̯	+	-	-	+	-	-	-	-	-	-	+	.	.	+	-
ɔj	+	-	-	+	-	-	-	-	-	-	+	.	.	+	-
ɔʔ	+	-	-	+	+	-	-	-	-	-	-	+	+	-	-
ɔ̃ʔ	+	-	-	+	+	+	-	-	-	-	-	+	+	-	-
ɵ	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
p	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
p̀	-	+	+	-	-	-	-	+	-	-	+	+	-	-	-
p*	-	+	+	-	-	-	-	-	-	-	+	+	-	-	-
p<	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
pː	-	+	+	-	-	-	-	.	-	-	+	+	-	+	-
pː	-	+	+	-	-	-	-	.	-	-	+	+	-	+	-
pf	-	+	+	-	-	-	+	.	-	-	+	+	-	-	-
pfʰ	-	+	+	-	-	-	+	+	-	-	+	+	-	-	-
pˠ	-	+	+	-	-	-	-	.	-	.	+	+	-	-	-
pʰ	-	+	+	-	-	-	-	+	-	-	+	+	-	-	-
pʰʷ	-	+	+	-	-	-	-	+	-	-	+	+	+	-	-
pʰʷ	-	+	+	-	-	-	-	+	-	-	+	+	+	-	-
pɦ	-	+	+	-	-	-	-	+	-	-	+	+	-	-	-
pʲ	-	+	+	-	-	-	-	.	-	+	+	+	-	-	-
pʲʰ	-	+	+	-	-	-	-	+	-	+	+	+	-	-	-
p͡k	-	+	+	-	-	-	-	.	.	-	.	+	-	-	-
p͡kʰ	-	+	+	-	-	-	-	+	-	-	-	+	-	-	-
pˡ	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
pɸ	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
ps	-	+	+	-	-	-	+	.	-	-	+	.	-	-	-
ps	-	+	+	-	-	-	+	.	-	-	+	.	-	-	-
pʃʰ	-	+	+	-	-	-	+	+	.	-	.	.	-	-	-
pʃʼ	-	+	+	-	+	-	+	.	.	-	.	.	-	-	-
pʃʼ	-	+	+	-	+	-	+	.	.	-	.	.	-	-	-
p͡t	-	+	+	-	-	-	-	.	-	-	+	.	-	-	-
p͡ts	-	+	+	-	-	-	+	.	-	-	+	.	-	-	-
pv	-	+	+	-	-	-	+	.	-	-	+	+	-	-	-
pʷ	-	+	+	-	-	-	-	.	-	-	+	+	+	-	-
pʷʼ	-	+	+	-	+	-	-	.	-	-	+	+	+	-	-
pʷʼ	-	+	+	-	+	-	-	.	-	-	+	+	+	-	-
pʼ	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
pʼ	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
pʼˤ	-	+	+	-	+	-	-	.	-	-	+	+	+	-	-
pʼˤ	-	+	+	-	+	-	-	.	-	-	+	+	+	-	-
pˤ	-	+	+	-	-	-	-	.	-	-	+	+	+	-	-
pˤ	-	+	+	-	-	-	-	.	-	-	+	+	+	-	-
p	-	+	+	-	-	.	-	.	-	-	+	+	-	-	-
ɸ	-	+	-	-	-	-	-	.	-	-	+	+	-	-	-
q	-	+	+	-	-	-	+	.	+	-	-	+	-	-	-
qː	-	+	+	-	-	-	+	.	+	-	-	+	-	+	-
qʰ	-	+	+	-	-	-	+	+	+	-	-	+	-	-	-
qʰʷ	-	+	+	-	-	-	+	+	+	-	-	+	+	-	-
qʲ	-	+	+	-	-	-	+	.	+	+	-	+	-	-	-
qɰ	-	-	-	+	-	-	+	.	+	-	-	+	-	-	-
qʷ	-	+	+	-	-	-	+	.	+	-	-	+	+	-	-
qʷː	-	+	+	-	-	-	+	.	+	-	-	+	+	+	-
qʷʼ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qʷʼ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
qʼ	-	+	+	-	+	-	+	.	+	-	-	+	-	-	-
qʼ	-	+	+	-	+	-	+	.	+	-	-	+	-	-	-
qʼʲ	-	+	+	-	+	-	+	.	+	+	-	+	-	-	-
qʼʲ	-	+	+	-	+	-	+	.	+	+	-	+	-	-	-
qʼʷ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qʼʷ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qʼˤ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qʼˤ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qʼˤʷ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
